countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,DaysToSettle,DaysLate,payment_delay_days,is_late,invoice_age_days,days_until_due,PaperlessBill_Electronic,PaperlessBill_Paper
818,5613-UHVMG,5/31/2012,55416013,2012-11-30,2012-12-30,42.01,1,2013-01-16,47,17,17,1,4842,-4813,True,False
406,6833-ETVHD,4/30/2012,57081728,2012-11-04,2012-12-04,86.65,0,2012-11-29,25,0,-5,0,4868,-4839,True,False
770,7758-WKLVM,2/6/2012,57781566,2012-06-24,2012-07-24,71.49,0,2012-08-07,44,14,14,1,5001,-4972,True,False
818,6004-KITZM,9/1/2013,58393139,2013-01-06,2013-02-05,88.16,0,2013-01-29,23,0,-7,0,4805,-4776,False,True
391,9841-XLGBV,1/3/2013,72380981,2013-02-16,2013-03-18,26.44,0,2013-03-06,18,0,-12,0,4764,-4735,True,False
897,8690-EEBEO,12/5/2012,75181247,2012-02-18,2012-03-19,83.33,0,2012-03-30,41,11,11,1,5128,-5099,False,True
391,8156-PCYBM,3/3/2012,81932735,2012-01-24,2012-02-23,72.7,0,2012-03-03,39,9,9,1,5153,-5124,False,True
818,7946-HJDUR,2/21/2012,86171934,2013-05-29,2013-06-28,41.69,0,2013-06-22,24,0,-6,0,4662,-4633,True,False
770,3831-FXWYK,3/8/2013,93006859,2012-12-24,2013-01-23,24.46,0,2013-01-31,38,8,8,1,4818,-4789,False,True
406,2621-XCLEH,9/24/2012,97717897,2013-03-31,2013-04-30,70.93,1,2013-05-25,55,25,25,1,4721,-4692,True,False
818,8887-NCUZC,1/22/2013,101415601,2012-05-31,2012-06-30,40.07,0,2012-07-04,34,4,4,1,5025,-4996,False,True
897,9286-VLKMI,2/13/2013,101747306,2013-05-27,2013-06-26,58.19,0,2013-05-29,2,0,-28,0,4664,-4635,True,False
406,6833-ETVHD,4/30/2012,103483331,2012-07-27,2012-08-26,72.13,0,2012-08-18,22,0,-8,0,4968,-4939,True,False
391,6160-HCSFI,1/10/2013,104628267,2012-01-13,2012-02-12,72.72,0,2012-02-04,22,0,-8,0,5164,-5135,False,True
391,1080-NDGAE,9/28/2012,106360977,2012-02-19,2012-03-20,93.48,1,2012-03-26,36,6,6,1,5127,-5098,False,True
897,6296-UKEUZ,11/26/2012,106486147,2013-09-21,2013-10-21,46.55,0,2013-09-25,4,0,-26,0,4547,-4518,True,False
770,6831-FIODB,5/8/2013,110122785,2012-10-23,2012-11-22,32.58,0,2012-11-30,38,8,8,1,4880,-4851,False,True
897,6296-UKEUZ,11/26/2012,120364375,2013-04-23,2013-05-23,34.63,0,2013-04-24,1,0,-29,0,4698,-4669,True,False
818,5148-SYKLB,8/28/2013,121797094,2012-09-28,2012-10-28,89.15,0,2012-10-30,32,2,2,1,4905,-4876,False,True
391,0379-NEVHP,4/6/2013,122662308,2013-08-05,2013-09-04,43.64,0,2013-08-21,16,0,-14,0,4594,-4565,True,False
770,7758-WKLVM,2/6/2012,123645023,2012-12-22,2013-01-21,44.36,0,2013-01-24,33,3,3,1,4820,-4791,True,False
770,3993-QUNVJ,12/31/2012,131216793,2013-02-01,2013-03-03,56.65,0,2013-02-05,4,0,-26,0,4779,-4750,True,False
391,9174-IYKOC,11/27/2012,135429278,2012-08-02,2012-09-01,58.2,0,2012-08-24,22,0,-8,0,4962,-4933,False,True
391,2676-DZINU,10/19/2012,145315244,2013-08-19,2013-09-18,83.05,0,2013-09-06,18,0,-12,0,4580,-4551,True,False
391,9014-WENVB,8/3/2013,152050637,2013-02-13,2013-03-15,60.03,0,2013-03-11,26,0,-4,0,4767,-4738,False,True
406,6833-ETVHD,4/30/2012,152808559,2012-09-11,2012-10-11,59.01,0,2012-09-29,18,0,-12,0,4922,-4893,True,False
406,1447-YZKCL,8/10/2012,173814675,2013-04-27,2013-05-27,66.85,0,2013-05-27,30,0,0,0,4694,-4665,True,False
818,8364-UWVLM,11/10/2012,176356154,2012-08-20,2012-09-19,78.83,1,2012-10-03,44,14,14,1,4944,-4915,False,True
770,9323-NDIOV,7/9/2012,176953642,2013-09-10,2013-10-10,65.0,0,2013-10-17,37,7,7,1,4558,-4529,True,False
391,5920-DPXLN,11/11/2012,176959210,2012-08-30,2012-09-29,57.18,0,2012-09-19,20,0,-10,0,4934,-4905,False,True
391,6708-DPYTF,8/2/2012,180192586,2012-08-02,2012-09-01,74.65,0,2012-09-18,47,17,17,1,4962,-4933,False,True
391,9014-WENVB,8/3/2013,186123387,2012-06-09,2012-07-09,59.85,0,2012-07-08,29,0,-1,0,5016,-4987,False,True
406,4632-QZOKX,3/19/2013,186768686,2012-06-10,2012-07-10,40.54,1,2012-07-11,31,1,1,1,5015,-4986,False,True
391,2125-HJDLA,5/22/2012,189882917,2012-09-03,2012-10-03,51.44,0,2012-10-17,44,14,14,1,4930,-4901,True,False
770,5592-UQXSS,12/31/2012,190687025,2013-07-15,2013-08-14,28.43,0,2013-08-02,18,0,-12,0,4615,-4586,True,False
406,9725-EZTEJ,3/17/2012,195093797,2013-11-02,2013-12-02,78.73,1,2013-12-04,32,2,2,1,4505,-4476,True,False
897,6177-VTITE,10/26/2012,195359114,2012-08-29,2012-09-28,56.26,1,2012-09-21,23,0,-7,0,4935,-4906,False,True
391,5529-TBPGK,8/9/2013,202519703,2013-02-10,2013-03-12,77.26,0,2013-03-13,31,1,1,1,4770,-4741,False,True
406,4640-FGEJI,4/4/2013,203036054,2012-09-23,2012-10-23,64.6,0,2012-10-15,22,0,-8,0,4910,-4881,False,True
406,5284-DJOZO,9/11/2012,204757285,2012-01-13,2012-02-12,54.44,0,2012-01-27,14,0,-16,0,5164,-5135,False,True
897,0688-XNJRO,6/24/2012,206372278,2013-08-14,2013-09-13,49.04,0,2013-09-21,38,8,8,1,4585,-4556,True,False
406,8389-TCXFQ,8/24/2012,208940420,2013-12-01,2013-12-31,70.45,1,2014-01-04,34,4,4,1,4476,-4447,True,False
391,8820-BLYDZ,3/19/2013,213324193,2012-10-13,2012-11-12,66.12,0,2012-10-22,9,0,-21,0,4890,-4861,False,True
391,9174-IYKOC,11/27/2012,217272343,2013-09-22,2013-10-22,49.88,1,2013-10-23,31,1,1,1,4546,-4517,True,False
391,3569-VJWXS,4/9/2013,218034886,2013-02-01,2013-03-03,38.64,0,2013-03-05,32,2,2,1,4779,-4750,False,True
770,7050-KQLDO,9/29/2012,222477564,2012-03-08,2012-04-07,65.7,1,2012-04-09,32,2,2,1,5109,-5080,False,True
818,5924-UOPGH,6/6/2013,232048622,2012-03-14,2012-04-13,67.6,0,2012-04-11,28,0,-2,0,5103,-5074,False,True
391,9174-IYKOC,11/27/2012,237437528,2012-12-09,2013-01-08,35.69,1,2013-01-15,37,7,7,1,4833,-4804,True,False
391,1080-NDGAE,9/28/2012,246081324,2012-09-06,2012-10-06,92.53,1,2012-10-13,37,7,7,1,4927,-4898,False,True
897,9286-VLKMI,2/13/2013,254550541,2012-12-28,2013-01-27,61.59,0,2013-01-08,11,0,-19,0,4814,-4785,False,True
406,4640-FGEJI,4/4/2013,261246477,2013-10-20,2013-11-19,94.47,0,2013-11-05,16,0,-14,0,4518,-4489,True,False
391,9174-IYKOC,11/27/2012,263678657,2012-09-10,2012-10-10,38.0,0,2012-10-11,31,1,1,1,4923,-4894,False,True
391,8156-PCYBM,3/3/2012,270702396,2012-10-31,2012-11-30,50.24,0,2012-11-25,25,0,-5,0,4872,-4843,True,False
818,5924-UOPGH,6/6/2013,273425635,2012-02-07,2012-03-08,113.76,1,2012-03-19,41,11,11,1,5139,-5110,False,True
406,4092-ZAVRG,5/19/2012,274057720,2012-05-07,2012-06-06,50.96,0,2012-05-13,6,0,-24,0,5049,-5020,False,True
770,9928-IJYBQ,3/18/2012,277331044,2012-11-02,2012-12-02,73.25,0,2012-11-26,24,0,-6,0,4870,-4841,True,False
770,3993-QUNVJ,12/31/2012,280670965,2012-01-03,2012-02-02,50.39,0,2012-01-23,20,0,-10,0,5174,-5145,False,True
391,0379-NEVHP,4/6/2013,281287578,2012-10-28,2012-11-27,76.81,0,2012-11-19,22,0,-8,0,4875,-4846,False,True
897,6177-VTITE,10/26/2012,282342168,2012-02-06,2012-03-07,63.28,0,2012-02-20,14,0,-16,0,5140,-5111,False,True
406,6048-QPZCF,7/13/2012,284482411,2013-02-14,2013-03-16,87.9,1,2013-03-17,31,1,1,1,4766,-4737,True,False
897,1408-OQZUE,9/14/2012,285510254,2012-04-05,2012-05-05,27.05,0,2012-05-28,53,23,23,1,5081,-5052,False,True
897,8690-EEBEO,12/5/2012,286008070,2013-02-26,2013-03-28,53.45,0,2013-03-31,33,3,3,1,4754,-4725,True,False
406,8389-TCXFQ,8/24/2012,287254498,2012-01-22,2012-02-21,72.49,0,2012-02-21,30,0,0,0,5155,-5126,False,True
406,4092-ZAVRG,5/19/2012,291694356,2013-02-27,2013-03-29,69.65,1,2013-03-11,12,0,-18,0,4753,-4724,True,False
406,7600-OISKG,7/19/2013,296503272,2012-07-03,2012-08-02,61.25,1,2012-08-07,35,5,5,1,4992,-4963,False,True
770,7758-WKLVM,2/6/2012,298536056,2013-03-12,2013-04-11,70.85,1,2013-05-06,55,25,25,1,4740,-4711,True,False
897,6177-VTITE,10/26/2012,299012002,2013-11-29,2013-12-29,41.97,0,2013-12-13,14,0,-16,0,4478,-4449,True,False
770,7856-ODQFO,8/5/2012,300108731,2013-11-30,2013-12-30,49.71,1,2014-01-06,37,7,7,1,4477,-4448,True,False
391,5196-TWQXF,6/20/2012,302496633,2012-07-04,2012-08-03,72.65,0,2012-07-26,22,0,-8,0,4991,-4962,True,False
406,6048-QPZCF,7/13/2012,308536412,2012-11-25,2012-12-25,73.73,0,2012-12-01,6,0,-24,0,4847,-4818,True,False
406,3448-OWJOT,9/15/2012,312361525,2012-07-05,2012-08-04,66.13,1,2012-08-13,39,9,9,1,4990,-4961,False,True
406,5284-DJOZO,9/11/2012,320318018,2013-03-23,2013-04-22,80.71,0,2013-03-24,1,0,-29,0,4729,-4700,True,False
406,5284-DJOZO,9/11/2012,321937283,2013-05-25,2013-06-24,72.85,1,2013-06-08,14,0,-16,0,4666,-4637,True,False
818,3568-JJMFW,1/9/2012,326671411,2012-12-27,2013-01-26,88.5,1,2013-01-18,22,0,-8,0,4815,-4786,True,False
391,7841-HROAQ,9/15/2013,329307404,2012-08-02,2012-09-01,68.53,1,2012-09-09,38,8,8,1,4962,-4933,False,True
818,5613-UHVMG,5/31/2012,333420180,2013-11-10,2013-12-10,60.6,1,2013-12-12,32,2,2,1,4497,-4468,True,False
818,3271-HYHDN,4/28/2013,354407690,2013-04-12,2013-05-12,45.56,0,2013-04-17,5,0,-25,0,4709,-4680,False,True
770,2447-JCFGW,7/31/2012,355095997,2012-12-12,2013-01-11,31.38,0,2013-01-05,24,0,-6,0,4830,-4801,True,False
391,3598-DNURW,8/29/2012,360452276,2012-01-30,2012-02-29,56.37,0,2012-02-20,21,0,-9,0,5147,-5118,False,True
818,3271-HYHDN,4/28/2013,367399005,2013-08-10,2013-09-09,58.78,0,2013-08-10,0,0,-30,0,4589,-4560,True,False
406,4092-ZAVRG,5/19/2012,368163381,2013-08-23,2013-09-22,62.68,1,2013-09-11,19,0,-11,0,4576,-4547,True,False
770,7050-KQLDO,9/29/2012,371943035,2013-10-24,2013-11-23,76.69,0,2013-11-15,22,0,-8,0,4514,-4485,True,False
391,5196-TWQXF,6/20/2012,374328279,2013-07-08,2013-08-07,60.0,0,2013-08-02,25,0,-5,0,4622,-4593,True,False
770,7856-ODQFO,8/5/2012,374625254,2013-04-03,2013-05-03,37.82,0,2013-04-25,22,0,-8,0,4718,-4689,True,False
897,9250-VHLWY,6/3/2013,374628242,2013-05-09,2013-06-08,29.93,0,2013-05-28,19,0,-11,0,4682,-4653,False,True
391,2125-HJDLA,5/22/2012,380292674,2013-03-02,2013-04-01,26.83,0,2013-04-10,39,9,9,1,4750,-4721,True,False
897,8942-ERSWK,1/11/2013,381841466,2013-11-12,2013-12-12,32.95,0,2013-11-15,3,0,-27,0,4495,-4466,True,False
391,2820-XGXSB,1/26/2012,385813290,2012-05-07,2012-06-06,73.9,0,2012-05-08,1,0,-29,0,5049,-5020,True,False
770,6077-FDQRK,9/11/2012,387380707,2012-08-20,2012-09-19,62.95,0,2012-09-15,26,0,-4,0,4944,-4915,False,True
818,3568-JJMFW,1/9/2012,391669562,2012-08-08,2012-09-07,71.98,1,2012-09-04,27,0,-3,0,4956,-4927,True,False
406,7245-CKNCN,6/4/2012,401983784,2013-08-17,2013-09-16,51.6,0,2013-09-04,18,0,-12,0,4582,-4553,True,False
897,8942-ERSWK,1/11/2013,420999665,2013-04-21,2013-05-21,34.12,1,2013-05-10,19,0,-11,0,4700,-4671,True,False
391,3598-DNURW,8/29/2012,423629217,2012-08-09,2012-09-08,57.34,0,2012-09-03,25,0,-5,0,4955,-4926,False,True
406,5284-DJOZO,9/11/2012,428154463,2012-05-03,2012-06-02,39.51,0,2012-05-21,18,0,-12,0,5053,-5024,False,True
391,6708-DPYTF,8/2/2012,428957919,2012-02-13,2012-03-14,86.74,0,2012-03-30,46,16,16,1,5133,-5104,False,True
406,4651-PMEXQ,7/4/2012,449356610,2013-01-04,2013-02-03,77.46,0,2013-01-24,20,0,-10,0,4807,-4778,True,False
391,5529-TBPGK,8/9/2013,451448142,2012-11-20,2012-12-20,55.81,0,2012-12-15,25,0,-5,0,4852,-4823,False,True
406,7245-CKNCN,6/4/2012,472551457,2013-07-20,2013-08-19,66.28,0,2013-08-04,15,0,-15,0,4610,-4581,True,False
391,0379-NEVHP,4/6/2013,476918544,2013-02-14,2013-03-16,55.21,0,2013-03-03,17,0,-13,0,4766,-4737,False,True
391,9014-WENVB,8/3/2013,479534953,2013-04-13,2013-05-13,65.83,0,2013-06-02,50,20,20,1,4708,-4679,False,True
770,4460-ZXNDN,6/27/2013,485064626,2012-10-06,2012-11-05,80.31,0,2012-11-13,38,8,8,1,4897,-4868,False,True
770,7856-ODQFO,8/5/2012,488925270,2013-05-18,2013-06-17,40.54,0,2013-06-07,20,0,-10,0,4673,-4644,True,False
770,0706-NRGUP,4/9/2013,489697015,2012-04-16,2012-05-16,41.44,0,2012-05-22,36,6,6,1,5070,-5041,False,True
770,6831-FIODB,5/8/2013,490252754,2013-05-08,2013-06-07,36.29,0,2013-06-14,37,7,7,1,4683,-4654,False,True
770,2687-XWAMA,4/3/2013,493580936,2012-06-17,2012-07-17,60.22,1,2012-07-24,37,7,7,1,5008,-4979,False,True
391,9212-BTDMX,4/22/2012,496849530,2013-06-02,2013-07-02,59.71,0,2013-06-16,14,0,-16,0,4658,-4629,True,False
897,6296-UKEUZ,11/26/2012,497305913,2012-11-07,2012-12-07,54.74,1,2012-11-29,22,0,-8,0,4865,-4836,False,True
406,6048-QPZCF,7/13/2012,498009655,2012-08-24,2012-09-23,76.34,1,2012-09-19,26,0,-4,0,4940,-4911,True,False
897,1408-OQZUE,9/14/2012,500975230,2013-04-18,2013-05-18,37.81,0,2013-05-23,35,5,5,1,4703,-4674,True,False
897,6177-VTITE,10/26/2012,511851896,2012-12-26,2013-01-25,8.27,0,2013-01-06,11,0,-19,0,4816,-4787,True,False
391,8156-PCYBM,3/3/2012,512194602,2012-03-28,2012-04-27,64.4,0,2012-04-28,31,1,1,1,5089,-5060,True,False
770,0465-DTULQ,3/4/2013,514496777,2012-09-14,2012-10-14,32.86,0,2012-10-17,33,3,3,1,4919,-4890,False,True
770,7228-LEPPM,4/30/2012,519700354,2012-03-09,2012-04-08,32.17,0,2012-04-18,40,10,10,1,5108,-5079,False,True
897,9883-SDWFS,7/8/2013,523612895,2012-04-17,2012-05-17,28.77,0,2012-05-24,37,7,7,1,5069,-5040,False,True
391,6632-CGYHU,1/8/2013,524611481,2012-10-05,2012-11-04,57.86,0,2012-10-23,18,0,-12,0,4898,-4869,False,True
406,5573-KSOIA,9/30/2013,524798729,2013-10-19,2013-11-18,57.78,0,2013-11-16,28,0,-2,0,4519,-4490,True,False
406,5164-VMYWJ,11/27/2013,528993923,2013-02-22,2013-03-24,90.22,0,2013-03-14,20,0,-10,0,4758,-4729,False,True
391,6160-HCSFI,1/10/2013,533597326,2012-08-20,2012-09-19,65.49,0,2012-09-12,23,0,-7,0,4944,-4915,False,True
391,5529-TBPGK,8/9/2013,535335924,2012-07-10,2012-08-09,57.88,0,2012-08-21,42,12,12,1,4985,-4956,False,True
391,2676-DZINU,10/19/2012,535641538,2012-04-26,2012-05-26,65.01,0,2012-05-18,22,0,-8,0,5060,-5031,False,True
406,2621-XCLEH,9/24/2012,537837854,2012-02-21,2012-03-22,79.51,0,2012-04-07,46,16,16,1,5125,-5096,False,True
406,8389-TCXFQ,8/24/2012,540061441,2013-01-30,2013-03-01,85.5,0,2013-02-13,14,0,-16,0,4781,-4752,True,False
897,6177-VTITE,10/26/2012,540659475,2013-02-05,2013-03-07,39.33,1,2013-03-06,29,0,-1,0,4775,-4746,True,False
770,7050-KQLDO,9/29/2012,552732928,2013-06-16,2013-07-16,62.26,0,2013-07-03,17,0,-13,0,4644,-4615,True,False
406,9725-EZTEJ,3/17/2012,555108669,2012-05-02,2012-06-01,116.78,1,2012-05-23,21,0,-9,0,5054,-5025,True,False
770,4460-ZXNDN,6/27/2013,557941160,2013-09-01,2013-10-01,73.77,1,2013-10-16,45,15,15,1,4567,-4538,True,False
818,8887-NCUZC,1/22/2013,561711596,2013-04-16,2013-05-16,37.38,1,2013-05-21,35,5,5,1,4705,-4676,True,False
818,5875-VZQCZ,7/15/2013,565497922,2012-10-30,2012-11-29,60.8,0,2012-11-24,25,0,-5,0,4873,-4844,False,True
770,4460-ZXNDN,6/27/2013,572625167,2013-05-24,2013-06-23,102.98,0,2013-06-25,32,2,2,1,4667,-4638,False,True
406,4640-FGEJI,4/4/2013,572998733,2012-04-19,2012-05-19,70.02,0,2012-05-21,32,2,2,1,5067,-5038,False,True
897,0688-XNJRO,6/24/2012,578091983,2012-12-13,2013-01-12,36.09,0,2013-01-30,48,18,18,1,4829,-4800,True,False
897,9883-SDWFS,7/8/2013,586870094,2012-03-29,2012-04-28,14.94,1,2012-05-13,45,15,15,1,5088,-5059,False,True
391,5529-TBPGK,8/9/2013,588467684,2013-03-12,2013-04-11,46.63,0,2013-04-11,30,0,0,0,4740,-4711,False,True
391,0709-LZRJV,6/20/2013,598324396,2012-07-07,2012-08-06,10.92,0,2012-08-16,40,10,10,1,4988,-4959,False,True
818,8887-NCUZC,1/22/2013,601440262,2012-05-30,2012-06-29,42.76,1,2012-07-09,40,10,10,1,5026,-4997,False,True
391,9841-XLGBV,1/3/2013,601606458,2012-10-25,2012-11-24,50.97,0,2012-11-16,22,0,-8,0,4878,-4849,False,True
391,9212-BTDMX,4/22/2012,604769805,2013-02-21,2013-03-23,73.59,0,2013-03-01,8,0,-22,0,4759,-4730,True,False
770,9928-IJYBQ,3/18/2012,606876865,2013-03-09,2013-04-08,46.61,0,2013-04-16,38,8,8,1,4743,-4714,True,False
406,4092-ZAVRG,5/19/2012,607578995,2012-09-28,2012-10-28,60.14,0,2012-10-04,6,0,-24,0,4905,-4876,True,False
391,2820-XGXSB,1/26/2012,608187073,2013-05-25,2013-06-24,56.09,0,2013-05-28,3,0,-27,0,4666,-4637,True,False
391,0709-LZRJV,6/20/2013,608905626,2012-09-27,2012-10-27,61.07,0,2012-10-23,26,0,-4,0,4906,-4877,False,True
406,4640-FGEJI,4/4/2013,613092852,2013-03-07,2013-04-06,90.34,0,2013-04-08,32,2,2,1,4745,-4716,False,True
818,3568-JJMFW,1/9/2012,617172736,2013-04-03,2013-05-03,77.79,1,2013-05-03,30,0,0,0,4718,-4689,True,False
818,6627-ELFBK,11/26/2012,620329407,2013-02-15,2013-03-17,76.5,1,2013-04-01,45,15,15,1,4765,-4736,True,False
406,7938-EVASK,12/15/2012,624274413,2013-08-14,2013-09-13,44.09,0,2013-09-24,41,11,11,1,4585,-4556,True,False
770,2447-JCFGW,7/31/2012,627613977,2012-04-06,2012-05-06,35.67,0,2012-05-03,27,0,-3,0,5080,-5051,False,True
897,7654-DOLHO,4/4/2012,631345640,2013-09-19,2013-10-19,23.62,0,2013-10-13,24,0,-6,0,4549,-4520,True,False
770,9149-MATVB,4/30/2013,633253847,2013-04-01,2013-05-01,50.95,0,2013-04-25,24,0,-6,0,4720,-4691,False,True
770,9149-MATVB,4/30/2013,640587193,2012-12-24,2013-01-23,64.18,0,2013-01-18,25,0,-5,0,4818,-4789,False,True
406,4651-PMEXQ,7/4/2012,641122100,2012-11-03,2012-12-03,49.01,0,2012-11-28,25,0,-5,0,4869,-4840,True,False
391,1080-NDGAE,9/28/2012,641300165,2013-09-12,2013-10-12,94.57,1,2013-10-14,32,2,2,1,4556,-4527,True,False
818,8887-NCUZC,1/22/2013,641436694,2013-02-11,2013-03-13,26.37,0,2013-03-04,21,0,-9,0,4769,-4740,True,False
391,7841-HROAQ,9/15/2013,642684114,2012-06-20,2012-07-20,63.36,0,2012-07-08,18,0,-12,0,5005,-4976,False,True
391,2125-HJDLA,5/22/2012,645045061,2012-10-26,2012-11-25,43.18,0,2012-11-24,29,0,-1,0,4877,-4848,True,False
391,6160-HCSFI,1/10/2013,647569317,2013-10-20,2013-11-19,92.57,0,2013-11-01,12,0,-18,0,4518,-4489,True,False
818,8887-NCUZC,1/22/2013,649688883,2013-11-03,2013-12-03,52.14,0,2013-11-28,25,0,-5,0,4504,-4475,True,False
391,5920-DPXLN,11/11/2012,649771974,2013-04-26,2013-05-26,68.35,0,2013-05-07,11,0,-19,0,4695,-4666,True,False
818,8364-UWVLM,11/10/2012,658936368,2013-05-17,2013-06-16,69.82,0,2013-06-03,17,0,-13,0,4674,-4645,True,False
406,5573-KSOIA,9/30/2013,659596494,2012-12-05,2013-01-04,75.65,1,2013-01-14,40,10,10,1,4837,-4808,False,True
818,8102-ABPKQ,8/29/2013,666874152,2012-08-18,2012-09-17,57.38,1,2012-09-29,42,12,12,1,4946,-4917,False,True
391,2125-HJDLA,5/22/2012,672948510,2012-11-09,2012-12-09,57.37,0,2012-12-05,26,0,-4,0,4863,-4834,True,False
818,5924-UOPGH,6/6/2013,674518601,2012-07-28,2012-08-27,94.42,0,2012-08-18,21,0,-9,0,4967,-4938,False,True
818,1604-LIFKX,3/16/2013,676551273,2012-10-13,2012-11-12,82.74,0,2012-12-01,49,19,19,1,4890,-4861,False,True
770,7260-ZHAKS,6/17/2012,678458928,2012-08-21,2012-09-20,67.74,0,2012-09-07,17,0,-13,0,4943,-4914,True,False
770,2026-XLBER,11/12/2012,679404840,2013-10-07,2013-11-06,49.73,0,2013-10-17,10,0,-20,0,4531,-4502,True,False
818,9181-HEKGV,10/16/2013,681101344,2012-08-27,2012-09-26,85.06,0,2012-09-22,26,0,-4,0,4937,-4908,False,True
406,7600-OISKG,7/19/2013,681889913,2013-07-24,2013-08-23,48.17,1,2013-08-22,29,0,-1,0,4606,-4577,True,False
770,9928-IJYBQ,3/18/2012,684720070,2012-04-03,2012-05-03,66.25,1,2012-05-15,42,12,12,1,5083,-5054,True,False
406,9725-EZTEJ,3/17/2012,685917930,2012-10-13,2012-11-12,124.38,1,2012-11-10,28,0,-2,0,4890,-4861,True,False
818,9181-HEKGV,10/16/2013,689403769,2013-09-29,2013-10-29,76.09,1,2013-11-11,43,13,13,1,4539,-4510,False,True
406,7600-OISKG,7/19/2013,700683520,2012-02-11,2012-03-12,65.67,1,2012-03-12,30,0,0,0,5135,-5106,False,True
391,8820-BLYDZ,3/19/2013,703104577,2013-03-31,2013-04-30,73.49,0,2013-04-02,2,0,-28,0,4721,-4692,True,False
406,5284-DJOZO,9/11/2012,704405155,2012-04-28,2012-05-28,67.34,0,2012-05-15,17,0,-13,0,5058,-5029,False,True
406,1447-YZKCL,8/10/2012,705084741,2013-05-02,2013-06-01,56.39,0,2013-05-28,26,0,-4,0,4689,-4660,True,False
406,7600-OISKG,7/19/2013,706375400,2013-05-12,2013-06-11,54.99,1,2013-06-15,34,4,4,1,4679,-4650,False,True
897,3271-YDPUJ,4/2/2013,725765758,2012-04-08,2012-05-08,76.71,1,2012-05-25,47,17,17,1,5078,-5049,False,True
770,6831-FIODB,5/8/2013,726197794,2013-04-11,2013-05-11,41.94,1,2013-05-22,41,11,11,1,4710,-4681,False,True
818,8102-ABPKQ,8/29/2013,728378151,2013-06-25,2013-07-25,80.68,1,2013-08-08,44,14,14,1,4635,-4606,False,True
818,6004-KITZM,9/1/2013,733170200,2012-12-09,2013-01-08,71.71,0,2012-12-29,20,0,-10,0,4833,-4804,False,True
897,1408-OQZUE,9/14/2012,739678368,2013-07-04,2013-08-03,42.36,0,2013-08-06,33,3,3,1,4626,-4597,True,False
897,8690-EEBEO,12/5/2012,744801013,2013-03-01,2013-03-31,61.04,0,2013-04-07,37,7,7,1,4751,-4722,True,False
